Date,Nedbank Eswatini,Royal Swazi Sugar,SWD Empowerment Limited,SWAPROP,Greystone,SBC Limited,Inala Capital Limited,NPC Limited,FNB Limited
2024-05-27,15,15.2,39,8,3.4,8.9,1.5,1.5,14.83
2024-05-26,15,15.2,39,8,3.4,8.9,1.5,1.5,14.83
2024-05-25,15,15.2,39,8,3.4,8.9,1.5,1.5,14.83
2024-05-24,15,15.2,39,8,3.4,8.9,1.5,1.5,14.83
2024-05-23,15,15.2,39,8,3.4,8.9,1.5,1.5,14.83
2024-05-22,15,15.2,39,8,3.4,8.9,1.5,1.5,14.83
2024-05-21,15,15.2,39,8,3.4,8.9,1.5,1.5,14.83
2024-05-20,15,15.2,39,8,3.4,8.9,1.5,1.5,14.83
2024-05-19,15,15.2,39,8,3.4,8.9,1.5,1.5,14.83
2024-05-18,15,15.2,39,8,3.4,8.9,1.5,1.5,14.83
2024-05-17,15,15.2,39,8,3.4,8.9,1.5,1.5,14.83
2024-05-16,15,15.2,39,8,3.4,8.9,1.5,1.5,14.83
2024-05-15,15,15.2,39,8,3.4,8.9,1.5,1.5,14.83
2024-05-14,15,15.2,39,8,3.4,8.9,1.5,1.44,14.83
2024-05-13,15,15.2,39,8,3.4,8.9,1.5,1.44,14.83
2024-05-12,15,15.2,39,8,3.4,8.9,1.5,1.44,14.83
2024-05-11,15,15.2,39,8,3.4,8.9,1.5,1.44,14.83
2024-05-10,15,15.2,39,8,3.4,8.9,1.5,1.44,14.83
2024-05-09,15,15.2,39,8,3.4,8.9,1.5,1.44,14.83
2024-05-08,15,15.2,39,8,3.4,8.9,1.5,1.44,14.83
2024-05-07,15,15.2,39,8,3.4,8.9,1.5,1.44,14.83
2024-05-06,14.5,15.2,39,8,3.4,8.9,1.5,1.44,14.83
2024-05-05,14.5,15.2,39,8,3.4,8.9,1.5,1.44,14.83
2024-05-04,15.5,15.2,39,8,3.4,8.9,1.5,1.44,14.83
2024-05-03,15.5,15.2,39,8,3.4,8.9,1.5,1.44,14.83
2024-05-02,14.5,15.2,39,8,3.4,8.9,1.5,1.44,14.83
2024-05-01,14.5,15.2,39,8,3.4,8.9,1.5,1.44,14.83
2024-04-30,14.5,15.2,39,8,3.4,8.9,1.5,1.44,14.83
2024-04-29,14.5,15.2,39,8,3.4,8.9,1.5,1.44,14.83
2024-04-28,14.5,15.2,39,8,3.4,8.9,1.5,1.44,14.83
2024-04-27,14.5,15.2,39,8,3.4,8.9,1.5,1.44,14.83
2024-04-26,14.5,15.2,39,7.5,3.4,8.9,1.5,1.44,14.83
2024-04-25,14.5,15.2,39,7.5,3.4,8.9,1.5,1.44,14.83
2024-04-24,14.5,15.2,39,7.5,3.4,8.9,1.5,1.44,14.83
2024-04-23,14.5,15.2,39,7.5,3.4,8.9,1.5,1.44,14.83
2024-04-22,14.5,15.2,39,7.5,3.4,8.9,1.5,1.44,14.83
2024-04-21,14.5,15.2,39,7.5,3.4,8.9,1.5,1.2,14.83
2024-04-20,14.5,15.2,39,7.5,3.4,8.9,1.5,1.2,14.83
2024-04-19,14.5,15.2,39,7.5,3.4,8.9,1.5,1.2,14.83
2024-04-18,14.5,15.2,39,7.5,3.4,8.9,1.5,1.2,14.83
2024-04-17,14.5,15.2,39,7.5,3.4,8.9,1.5,1.2,14.83
2024-04-16,14.5,15.2,39,7.5,3.4,8.9,1.5,1.2,14.83
2024-04-15,14.5,15.2,39,7.5,3.4,8.9,1.5,1.2,14.83
2024-04-14,14.5,15.2,39,7.5,3.4,8.9,1.5,1.2,14.83
2024-04-13,14.5,15.2,39,7.5,3.4,8.9,1.5,1.2,14.83
2024-04-12,14.5,15.2,39,7.5,3.4,8.9,1.5,1.2,14.83
2024-04-11,14.5,15.2,39,7.5,3.4,8.9,1.5,1.2,14.83
2024-04-10,14.5,15.2,39,7.5,3.4,8.9,1.5,1.2,14.83
2024-04-09,14.5,15.2,39,7.5,3.4,8.9,1.5,1.2,14.83
2024-04-08,14.5,15.2,39,7.5,3.4,8.9,1.5,1.2,14.83
2024-04-07,14.5,15.2,39,7.5,3.4,8.9,1.5,1.2,14.83
2024-04-06,14.5,15.2,39,7.5,3.4,8.9,1.5,1.2,14.83
2024-04-05,14.5,15.2,39,7.5,3.4,8.9,1.5,1.2,14.83
2024-04-04,14.5,15.2,39,7.5,3.4,8.9,1.5,1.2,14.83
2024-04-03,14.5,15.2,39,7.5,3.4,8.9,1.5,1.2,14.83
